tweet_id,date,country,sentiment,keyword,text,retweet_count,like_count
2803826677020224,2023-11-01,Denmark,negative,air quality,Breaking: concerns grow over air quality; data attached.,80.0,92.0
1119349365897942,2022-11-16,Spain,negative,air quality,Reminder: concerns grow over air quality; details incoming.,14.0,125.0
3605591970800719,2023-01-20,France,neutral,green transition,FYI: discussion continues on green transition; check the figures.,78.0,109.0
4546715437012377,2023-09-10,Saudi Arabia,negative,green transition,Opinion: concerns grow over green transition; check the figures.,75.0,63.0
9630049315224554,2022-09-26,Ireland,negative,global warming,Opinion: global warming impacts are worsening; stay informed.,58.0,58.0
1977846946591145,2023-04-30,China,neutral,emissions,Report: discussion continues on emissions; source in comments.,65.0,84.0
4510408594790717,2023-07-02,China,neutral,emissions,Opinion: latest stats on emissions released; check the figures.,64.0,147.0
7479407322745327,2021-09-04,India,negative,drought,Opinion: alarm raised about drought; check the figures.,37.0,132.0
5217723819623565,2021-03-02,New Zealand,negative,heatwave,Reminder: concerns grow over heatwave; data attached.,75.0,135.0
9531634302395792,2021-11-25,Spain,negative,air quality,Research: concerns grow over air quality; check the figures.,82.0,25.0
4311463048163220,2021-11-09,Greece,positive,fossil fuels,Breaking: new policies boost fossil fuels; share responsibly.,87.0,80.0
4349471777752885,2023-08-15,Sweden,positive,wildfire,Report: encouraging signs for wildfire; learn more soon.,32.0,131.0
1744832413450843,2023-09-27,Spain,negative,net zero,Heads up: policies on net zero face setbacks; source in comments.,28.0,135.0
7693425310906378,2021-01-06,Vietnam,neutral,climate change,Opinion: experts debate climate change; what do you think?.,11.0,112.0
6238475503250693,2022-07-02,United States,negative,fossil fuels,Heads up: fossil fuels impacts are worsening; source in comments.,65.0,151.0
3923045915789573,2023-06-19,Thailand,negative,air quality,Update: policies on air quality face setbacks; source in comments.,,65.0
5607915417879723,2021-05-24,Saudi Arabia,neutral,renewable energy,Heads up: overview of renewable energy trends; source in comments.,8.0,96.0
1479601578994531,2023-05-23,Netherlands,neutral,green transition,Reminder: overview of green transition trends; what do you think?.,32.0,71.0
8977515589442404,2021-05-11,India,positive,sustainability,Research: encouraging signs for sustainability; source in comments.,75.0,139.0
8473599064754211,2022-05-28,Saudi Arabia,negative,emissions,Opinion: emissions impacts are worsening; details incoming.,82.0,97.0
8892771346287872,2023-06-14,New Zealand,negative,global warming,Opinion: global warming impacts are worsening; data attached.,14.0,150.0
4670518553297099,2021-11-28,India,positive,fossil fuels,Research: communities act on fossil fuels; details incoming.,77.0,103.0
5596908813046479,2022-01-10,Netherlands,neutral,fossil fuels,Heads up: overview of fossil fuels trends; check the figures.,14.0,18.0
2860370889928895,2021-11-01,Nigeria,positive,global warming,Reminder: global warming progress is promising; learn more soon.,83.0,104.0
4488448758233857,2023-02-27,United Arab Emirates,negative,air quality,Update: policies on air quality face setbacks; stay informed.,27.0,2.0
8766958859882649,2021-10-07,Vietnam,negative,heatwave,Reminder: policies on heatwave face setbacks; stay informed.,41.0,184.0
5695660329016564,2023-12-21,Denmark,neutral,global warming,Heads up: overview of global warming trends; details incoming.,66.0,92.0
9240761033390603,2022-05-03,Spain,neutral,drought,Opinion: overview of drought trends; details incoming.,14.0,82.0
5498532145415132,2022-06-08,Argentina,negative,wildfire,Breaking: wildfire impacts are worsening; check the figures.,17.0,26.0
9077452244159824,2022-07-07,United Arab Emirates,neutral,wildfire,Breaking: experts debate wildfire; details incoming.,43.0,150.0
9437071301782577,2022-09-30,Vietnam,neutral,renewable energy,Research: experts debate renewable energy; stay informed.,87.0,162.0
2585277171582170,2022-08-30,Mexico,negative,green transition,Breaking: policies on green transition face setbacks; share responsibly.,54.0,105.0
4718079904182372,2022-07-12,United Arab Emirates,neutral,wildfire,FYI: experts debate wildfire; data attached.,7.0,71.0
8532473675177248,2023-12-27,United Arab Emirates,positive,fossil fuels,Research: new policies boost fossil fuels; source in comments.,68.0,142.0
9637937860346793,2023-06-04,Portugal,neutral,green transition,Report: latest stats on green transition released; stay informed.,6.0,116.0
7372428856350892,2023-05-18,Peru,neutral,green transition,Heads up: experts debate green transition; source in comments.,45.0,72.0
3892884543194413,2023-02-06,Indonesia,negative,climate change,Breaking: alarm raised about climate change; source in comments.,56.0,128.0
7532894715975284,2022-11-13,Australia,neutral,carbon tax,Research: latest stats on carbon tax released; details incoming.,60.0,20.0
1514342380930323,2022-01-09,Pakistan,neutral,emissions,Update: overview of emissions trends; stay informed.,34.0,150.0
7250349194003992,2023-12-19,Italy,positive,green transition,Research: encouraging signs for green transition; what do you think?.,60.0,66.0
1157843672587779,2022-05-26,Brazil,neutral,net zero,Breaking: latest stats on net zero released; data attached.,67.0,85.0
1945610082942373,2021-08-24,Germany,negative,drought,Reminder: concerns grow over drought; source in comments.,43.0,198.0
3477511611230797,2023-07-15,France,neutral,green transition,Breaking: discussion continues on green transition; details incoming.,29.0,53.0
3593653781002441,2021-06-25,Colombia,positive,net zero,Report: encouraging signs for net zero; data attached.,61.0,61.0
9857993720415408,2023-07-28,Australia,negative,drought,Update: concerns grow over drought; details incoming.,76.0,133.0
4556881582958755,2022-11-02,Netherlands,neutral,climate change,Reminder: overview of climate change trends; source in comments.,58.0,37.0
2697451742200322,2021-05-06,India,negative,carbon tax,Research: concerns grow over carbon tax; details incoming.,63.0,97.0
8355214297164906,2021-02-18,Vietnam,neutral,wildfire,Update: discussion continues on wildfire; share responsibly.,70.0,130.0
8470208784647937,2022-05-03,Greece,negative,drought,Update: concerns grow over drought; data attached.,70.0,160.0
4318457482883404,2021-02-09,Poland,positive,drought,Update: encouraging signs for drought; data attached.,79.0,102.0
4535121134972336,2021-06-05,Sweden,positive,sustainability,Update: new policies boost sustainability; what do you think?.,63.0,14.0
4180189270329758,2022-07-18,Australia,neutral,flood,Heads up: experts debate flood; data attached.,20.0,127.0
2247240955832531,2023-11-29,Spain,positive,sustainability,Research: sustainability progress is promising; check the figures.,94.0,224.0
4142277236916969,2022-05-26,Ireland,positive,fossil fuels,Breaking: communities act on fossil fuels; learn more soon.,81.0,47.0
1352823210898354,2023-06-05,United States,positive,flood,Reminder: new policies boost flood; check the figures.,80.0,53.0
7436632003512385,2023-10-02,Mexico,negative,net zero,Research: policies on net zero face setbacks; learn more soon.,68.0,84.0
1621916722539635,2023-06-21,Canada,negative,fossil fuels,Breaking: alarm raised about fossil fuels; what do you think?.,56.0,190.0
8676723123094047,2022-11-21,France,positive,fossil fuels,Reminder: new policies boost fossil fuels; stay informed.,31.0,54.0
3489173386693443,2022-04-29,India,neutral,net zero,Breaking: overview of net zero trends; what do you think?.,99.0,183.0
3535189347345870,2022-07-17,Poland,positive,global warming,Update: encouraging signs for global warming; source in comments.,84.0,155.0
4139402891433725,2021-10-19,China,negative,net zero,Update: alarm raised about net zero; source in comments.,85.0,110.0
8660690813682921,2022-06-29,Denmark,positive,air quality,Breaking: air quality progress is promising; details incoming.,31.0,90.0
5065221031801094,2022-02-20,Turkey,neutral,climate change,Update: experts debate climate change; source in comments.,78.0,130.0
1567228222470461,2021-09-29,Peru,neutral,carbon tax,Breaking: overview of carbon tax trends; details incoming.,33.0,157.0
8270227111097765,2023-12-24,Mexico,negative,green transition,Opinion: green transition impacts are worsening; details incoming.,40.0,23.0
3896657946944649,2021-01-13,Egypt,positive,sustainability,Heads up: encouraging signs for sustainability; share responsibly.,74.0,31.0
8580635826761223,2021-04-17,France,negative,air quality,Report: alarm raised about air quality; share responsibly.,82.0,97.0
2479841210385214,2021-07-30,Italy,negative,flood,Heads up: policies on flood face setbacks; details incoming.,43.0,125.0
4353891520391832,2023-11-28,France,negative,sustainability,Breaking: concerns grow over sustainability; check the figures.,39.0,56.0
1051360065608198,2023-01-28,New Zealand,positive,fossil fuels,Opinion: new policies boost fossil fuels; stay informed.,97.0,93.0
5616393922958876,2023-08-24,Argentina,positive,emissions,Breaking: communities act on emissions; stay informed.,51.0,123.0
3583718583011974,2021-08-08,Germany,positive,flood,Research: communities act on flood; data attached.,30.0,53.0
5125282845545927,2023-03-01,Philippines,positive,fossil fuels,Update: communities act on fossil fuels; share responsibly.,40.0,108.0
7293278791687970,2022-02-09,Vietnam,negative,flood,FYI: alarm raised about flood; details incoming.,25.0,101.0
2159757894465871,2022-06-20,Philippines,negative,climate change,Research: concerns grow over climate change; share responsibly.,16.0,134.0
5849847038870532,2021-01-05,New Zealand,positive,emissions,Research: encouraging signs for emissions; details incoming.,68.0,94.0
1616050712552161,2022-11-08,Singapore,negative,carbon tax,Opinion: concerns grow over carbon tax; data attached.,52.0,114.0
3384678599593775,2023-06-28,Norway,neutral,carbon tax,Report: latest stats on carbon tax released; details incoming.,91.0,151.0
3643484311323873,2022-12-28,Nigeria,positive,fossil fuels,FYI: fossil fuels progress is promising; check the figures.,57.0,159.0
4362766722735533,2021-06-19,Mexico,negative,drought,Update: drought impacts are worsening; data attached.,55.0,148.0
7325565353131202,2022-08-08,Indonesia,positive,wildfire,FYI: wildfire progress is promising; learn more soon.,62.0,98.0
3047824989606331,2021-10-21,Egypt,positive,drought,Opinion: communities act on drought; check the figures.,36.0,51.0
8935526488653852,2023-11-23,Netherlands,positive,drought,Heads up: new policies boost drought; share responsibly.,3.0,35.0
5313876958018246,2023-08-22,Philippines,positive,net zero,Report: encouraging signs for net zero; data attached.,40.0,117.0
3384024095990370,2021-07-23,India,neutral,fossil fuels,FYI: discussion continues on fossil fuels; details incoming.,4.0,45.0
4360447200886282,2022-07-13,Thailand,neutral,wildfire,Opinion: latest stats on wildfire released; details incoming.,58.0,135.0
